2025-07-03 21:55:28.440 | INFO     | xhs_toolkit.src.core.browser:create_driver:50 - 🚀 初始化Chrome浏览器驱动...
2025-07-03 21:55:28.441 | INFO     | xhs_toolkit.src.core.browser:_create_chrome_options:126 - 🖥️ 启用有界面浏览器模式
2025-07-03 21:55:32.159 | INFO     | xhs_toolkit.src.core.browser:create_driver:68 - ✅ Chrome浏览器驱动初始化成功
2025-07-03 21:55:32.160 | INFO     | xhs_toolkit.src.core.browser:navigate_to_creator_center:188 - 🌐 导航到小红书创作者中心...
2025-07-03 21:55:38.278 | INFO     | xhs_toolkit.src.core.browser:navigate_to_creator_center:198 - ✅ 成功访问创作者中心
2025-07-03 23:44:06.384 | INFO     | xhs_toolkit.src.core.browser:create_driver:50 - 🚀 初始化Chrome浏览器驱动...
2025-07-03 23:44:06.385 | INFO     | xhs_toolkit.src.core.browser:_create_chrome_options:126 - 🖥️ 启用有界面浏览器模式
2025-07-03 23:44:07.601 | INFO     | xhs_toolkit.src.core.browser:create_driver:68 - ✅ Chrome浏览器驱动初始化成功
2025-07-03 23:44:07.601 | INFO     | xhs_toolkit.src.core.browser:navigate_to_creator_center:188 - 🌐 导航到小红书创作者中心...
2025-07-03 23:44:30.590 | INFO     | xhs_toolkit.src.core.browser:create_driver:50 - 🚀 初始化Chrome浏览器驱动...
2025-07-03 23:44:30.591 | INFO     | xhs_toolkit.src.core.browser:_create_chrome_options:126 - 🖥️ 启用有界面浏览器模式
2025-07-03 23:44:31.844 | INFO     | xhs_toolkit.src.core.browser:create_driver:68 - ✅ Chrome浏览器驱动初始化成功
2025-07-03 23:44:31.844 | INFO     | xhs_toolkit.src.core.browser:navigate_to_creator_center:188 - 🌐 导航到小红书创作者中心...
2025-07-03 23:44:35.501 | INFO     | xhs_toolkit.src.core.browser:navigate_to_creator_center:198 - ✅ 成功访问创作者中心
